,Program,Year,Period,Geo_Level,State,County,Commodity,Data_Item,Domain,Domain Category,Value,CV_(%)
1,CENSUS,2017,YEAR,COUNTY,ALABAMA,AUTAUGA,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"7,330",30.5
3,CENSUS,2017,YEAR,COUNTY,ALABAMA,BULLOCK,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED, (D),(D)
5,CENSUS,2017,YEAR,COUNTY,ALABAMA,DALLAS,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"6,620",30.5
7,CENSUS,2017,YEAR,COUNTY,ALABAMA,ELMORE,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"3,895",30.5
9,CENSUS,2017,YEAR,COUNTY,ALABAMA,GREENE,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,640,30.5
11,CENSUS,2017,YEAR,COUNTY,ALABAMA,HALE,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED, (D),(D)
13,CENSUS,2017,YEAR,COUNTY,ALABAMA,LOWNDES,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"5,194",30.5
15,CENSUS,2017,YEAR,COUNTY,ALABAMA,MACON,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"3,380",30.5
17,CENSUS,2017,YEAR,COUNTY,ALABAMA,MARENGO,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED, (D),(D)
19,CENSUS,2017,YEAR,COUNTY,ALABAMA,MONTGOMERY,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,600,30.5
21,CENSUS,2017,YEAR,COUNTY,ALABAMA,PERRY,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,630,30.5
23,CENSUS,2017,YEAR,COUNTY,ALABAMA,SUMTER,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,290,30.5
25,CENSUS,2017,YEAR,COUNTY,ALABAMA,BALDWIN,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"13,544",30.5
27,CENSUS,2017,YEAR,COUNTY,ALABAMA,BUTLER,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,972,30.5
29,CENSUS,2017,YEAR,COUNTY,ALABAMA,CHOCTAW,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED, (D),(D)
