,Program,Year,Period,Geo_Level,State,County,Commodity,Data_Item,Domain,Domain Category,Value,CV_(%)
20148,SURVEY,2019,MARKETING YEAR,STATE,ALABAMA,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,294000,
20151,SURVEY,2019,MARKETING YEAR,STATE,ARIZONA,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1058000,
20154,SURVEY,2019,MARKETING YEAR,STATE,ARKANSAS,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1100000,
20157,SURVEY,2019,MARKETING YEAR,STATE,CALIFORNIA,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16080000,
20160,SURVEY,2019,MARKETING YEAR,STATE,COLORADO,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1472000,
20163,SURVEY,2019,MARKETING YEAR,STATE,FLORIDA,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,9225000,
20166,SURVEY,2019,MARKETING YEAR,STATE,GEORGIA,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,3366000,
20169,SURVEY,2019,MARKETING YEAR,STATE,HAWAII,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1280000,
20172,SURVEY,2019,MARKETING YEAR,STATE,IDAHO,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,2944000,
20175,SURVEY,2019,MARKETING YEAR,STATE,ILLINOIS,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,429000,
20178,SURVEY,2019,MARKETING YEAR,STATE,INDIANA,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,495000,
20181,SURVEY,2019,MARKETING YEAR,STATE,IOWA,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,2090000,
20184,SURVEY,2019,MARKETING YEAR,STATE,KANSAS,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,553000,
20187,SURVEY,2019,MARKETING YEAR,STATE,KENTUCKY,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,246000,
20190,SURVEY,2019,MARKETING YEAR,STATE,LOUISIANA,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,3888000,
20193,SURVEY,2019,MARKETING YEAR,STATE,MAINE,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,525000,
20196,SURVEY,2019,MARKETING YEAR,STATE,MICHIGAN,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,4700000,
20199,SURVEY,2019,MARKETING YEAR,STATE,MINNESOTA,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,6962000,
20202,SURVEY,2019,MARKETING YEAR,STATE,MISSISSIPPI,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1760000,
20205,SURVEY,2019,MARKETING YEAR,STATE,MISSOURI,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,430000,
20208,SURVEY,2019,MARKETING YEAR,STATE,MONTANA,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,14878000,
20211,SURVEY,2019,MARKETING YEAR,STATE,NEBRASKA,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,2028000,
