,Program,Year,Period,Geo_Level,State,County,Commodity,Data_Item,Domain,Domain Category,Value,CV_(%)
3,CENSUS,2017,YEAR,COUNTY,ARIZONA,MARICOPA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,1,(H)
12,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,SAN LUIS OBISPO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,612,11.7
14,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,SONOMA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,2,11.7
19,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,BUTTE,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,34683,11.7
20,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,COLUSA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,45689,11.7
21,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,GLENN,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,52243,11.7
22,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,SACRAMENTO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,701,11.7
24,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,SUTTER,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,6676,11.7
25,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,TEHAMA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,6213,11.7
26,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,YOLO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,24124,11.7
28,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,FRESNO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,184725,11.7
29,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,KERN,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,173229,11.7
30,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,KINGS,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,34808,11.7
31,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,MADERA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,107411,11.7
32,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,MERCED,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,116967,11.7
33,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,SAN JOAQUIN,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,59620,11.7
34,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,STANISLAUS,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,162963,11.7
35,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,TULARE,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,36096,11.7
37,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,EL DORADO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,2,11.7
41,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,PLACER,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,8,11.7
42,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,SHASTA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,1,11.7
44,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,RIVERSIDE,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,152,11.7
46,CENSUS,2017,YEAR,COUNTY,CALIFORNIA,SAN DIEGO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,3,11.7
64,CENSUS,2017,YEAR,COUNTY,NEW MEXICO,DONA ANA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,1,(H)
90,CENSUS,2017,YEAR,COUNTY,TEXAS,HUNT,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,2,(H)
96,CENSUS,2017,YEAR,COUNTY,TEXAS,GONZALES,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,3,(H)
99,CENSUS,2017,YEAR,COUNTY,UTAH,WASHINGTON,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,1,56
100,CENSUS,2017,YEAR,COUNTY,UTAH,WAYNE,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,3,56
