Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,137,38.7
CENSUS,2017,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,209,38.7
CENSUS,2017,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,151,38.7
CENSUS,2017,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,31,38.7
CENSUS,2017,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,5,38.7
CENSUS,2017,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,196,38.7
CENSUS,2017,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,104,38.7
CENSUS,2017,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,127,38.7
CENSUS,2017,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,50,38.7
CENSUS,2017,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,49,38.7
CENSUS,2017,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,46,38.7
