,Program,Year,Period,Geo_Level,State,County,Commodity,Data_Item,Domain,Domain Category,Value,CV_(%)
0,CENSUS,2017,YEAR,COUNTY,ALABAMA,AUTAUGA,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,(H)
2,CENSUS,2017,YEAR,COUNTY,ALABAMA,BULLOCK,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,2,(H)
4,CENSUS,2017,YEAR,COUNTY,ALABAMA,DALLAS,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,7,(H)
6,CENSUS,2017,YEAR,COUNTY,ALABAMA,ELMORE,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,11,(H)
8,CENSUS,2017,YEAR,COUNTY,ALABAMA,GREENE,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,9,(H)
10,CENSUS,2017,YEAR,COUNTY,ALABAMA,HALE,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,1,(H)
12,CENSUS,2017,YEAR,COUNTY,ALABAMA,LOWNDES,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,6,(H)
14,CENSUS,2017,YEAR,COUNTY,ALABAMA,MACON,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,16,(H)
16,CENSUS,2017,YEAR,COUNTY,ALABAMA,MARENGO,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,(H)
18,CENSUS,2017,YEAR,COUNTY,ALABAMA,MONTGOMERY,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,(H)
20,CENSUS,2017,YEAR,COUNTY,ALABAMA,PERRY,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,(H)
22,CENSUS,2017,YEAR,COUNTY,ALABAMA,SUMTER,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,(H)
24,CENSUS,2017,YEAR,COUNTY,ALABAMA,BALDWIN,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,25,(H)
26,CENSUS,2017,YEAR,COUNTY,ALABAMA,BUTLER,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,10,(H)
28,CENSUS,2017,YEAR,COUNTY,ALABAMA,CHOCTAW,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,1,(H)
30,CENSUS,2017,YEAR,COUNTY,ALABAMA,CONECUH,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,5,(H)
32,CENSUS,2017,YEAR,COUNTY,ALABAMA,ESCAMBIA,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,9,(H)
34,CENSUS,2017,YEAR,COUNTY,ALABAMA,MOBILE,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,28,(H)
36,CENSUS,2017,YEAR,COUNTY,ALABAMA,MONROE,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,16,(H)
38,CENSUS,2017,YEAR,COUNTY,ALABAMA,WASHINGTON,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,(H)
40,CENSUS,2017,YEAR,COUNTY,ALABAMA,BLOUNT,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,18,(H)
42,CENSUS,2017,YEAR,COUNTY,ALABAMA,CALHOUN,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,27,(H)
44,CENSUS,2017,YEAR,COUNTY,ALABAMA,CHEROKEE,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,13,(H)
46,CENSUS,2017,YEAR,COUNTY,ALABAMA,CLEBURNE,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,(H)
48,CENSUS,2017,YEAR,COUNTY,ALABAMA,CULLMAN,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,20,(H)
50,CENSUS,2017,YEAR,COUNTY,ALABAMA,DE KALB,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,4,(H)
52,CENSUS,2017,YEAR,COUNTY,ALABAMA,ETOWAH,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,20,(H)
54,CENSUS,2017,YEAR,COUNTY,ALABAMA,JACKSON,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,7,(H)
56,CENSUS,2017,YEAR,COUNTY,ALABAMA,MARSHALL,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,11,(H)
58,CENSUS,2017,YEAR,COUNTY,ALABAMA,SAINT CLAIR,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,(H)
60,CENSUS,2017,YEAR,COUNTY,ALABAMA,COLBERT,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,5,(H)
62,CENSUS,2017,YEAR,COUNTY,ALABAMA,FRANKLIN,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,5,(H)
64,CENSUS,2017,YEAR,COUNTY,ALABAMA,LAUDERDALE,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,15,(H)
66,CENSUS,2017,YEAR,COUNTY,ALABAMA,LAWRENCE,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,12,(H)
68,CENSUS,2017,YEAR,COUNTY,ALABAMA,LIMESTONE,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,41,(H)
70,CENSUS,2017,YEAR,COUNTY,ALABAMA,MADISON,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,37,(H)
72,CENSUS,2017,YEAR,COUNTY,ALABAMA,MARION,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,(H)
74,CENSUS,2017,YEAR,COUNTY,ALABAMA,MORGAN,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,(H)
76,CENSUS,2017,YEAR,COUNTY,ALABAMA,WINSTON,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,21,(H)
78,CENSUS,2017,YEAR,COUNTY,ALABAMA,BIBB,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,7,(H)
80,CENSUS,2017,YEAR,COUNTY,ALABAMA,CHAMBERS,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,5,(H)
82,CENSUS,2017,YEAR,COUNTY,ALABAMA,CHILTON,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,5,(H)
84,CENSUS,2017,YEAR,COUNTY,ALABAMA,CLAY,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,7,(H)
86,CENSUS,2017,YEAR,COUNTY,ALABAMA,COOSA,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,2,(H)
88,CENSUS,2017,YEAR,COUNTY,ALABAMA,FAYETTE,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,17,(H)
90,CENSUS,2017,YEAR,COUNTY,ALABAMA,JEFFERSON,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,12,(H)
