,Program,Year,Period,Geo_Level,State,County,Commodity,Data_Item,Domain,Domain Category,Value,CV_(%)
20147,SURVEY,2019,MARKETING YEAR,STATE,ALABAMA,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"941,000",
20150,SURVEY,2019,MARKETING YEAR,STATE,ARIZONA,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,084,000",
20153,SURVEY,2019,MARKETING YEAR,STATE,ARKANSAS,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,683,000",
20156,SURVEY,2019,MARKETING YEAR,STATE,CALIFORNIA,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"25,085,000",
20159,SURVEY,2019,MARKETING YEAR,STATE,COLORADO,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,150,000",
20162,SURVEY,2019,MARKETING YEAR,STATE,FLORIDA,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"22,878,000",
20165,SURVEY,2019,MARKETING YEAR,STATE,GEORGIA,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"8,785,000",
20168,SURVEY,2019,MARKETING YEAR,STATE,HAWAII,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,638,000",
20171,SURVEY,2019,MARKETING YEAR,STATE,IDAHO,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,916,000",
20174,SURVEY,2019,MARKETING YEAR,STATE,ILLINOIS,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,849,000",
20177,SURVEY,2019,MARKETING YEAR,STATE,INDIANA,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,955,000",
20180,SURVEY,2019,MARKETING YEAR,STATE,IOWA,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,682,000",
20183,SURVEY,2019,MARKETING YEAR,STATE,KANSAS,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,631,000",
20186,SURVEY,2019,MARKETING YEAR,STATE,KENTUCKY,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,107,000",
20189,SURVEY,2019,MARKETING YEAR,STATE,LOUISIANA,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"7,932,000",
20192,SURVEY,2019,MARKETING YEAR,STATE,MAINE,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,533,000",
20195,SURVEY,2019,MARKETING YEAR,STATE,MICHIGAN,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"11,092,000",
