,Program,Year,Period,Geo_Level,State,County,Commodity,Data_Item,Domain,Domain Category,Value,CV_(%)
1,CENSUS,2017,YEAR,COUNTY,ALABAMA,AUTAUGA,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,7330,30.5
5,CENSUS,2017,YEAR,COUNTY,ALABAMA,DALLAS,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,6620,30.5
7,CENSUS,2017,YEAR,COUNTY,ALABAMA,ELMORE,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,3895,30.5
9,CENSUS,2017,YEAR,COUNTY,ALABAMA,GREENE,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,640,30.5
13,CENSUS,2017,YEAR,COUNTY,ALABAMA,LOWNDES,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,5194,30.5
15,CENSUS,2017,YEAR,COUNTY,ALABAMA,MACON,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,3380,30.5
19,CENSUS,2017,YEAR,COUNTY,ALABAMA,MONTGOMERY,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,600,30.5
21,CENSUS,2017,YEAR,COUNTY,ALABAMA,PERRY,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,630,30.5
23,CENSUS,2017,YEAR,COUNTY,ALABAMA,SUMTER,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,290,30.5
25,CENSUS,2017,YEAR,COUNTY,ALABAMA,BALDWIN,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,13544,30.5
27,CENSUS,2017,YEAR,COUNTY,ALABAMA,BUTLER,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,972,30.5
31,CENSUS,2017,YEAR,COUNTY,ALABAMA,CONECUH,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1129,30.5
33,CENSUS,2017,YEAR,COUNTY,ALABAMA,ESCAMBIA,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,5398,30.5
35,CENSUS,2017,YEAR,COUNTY,ALABAMA,MOBILE,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,11639,30.5
37,CENSUS,2017,YEAR,COUNTY,ALABAMA,MONROE,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,9516,30.5
39,CENSUS,2017,YEAR,COUNTY,ALABAMA,WASHINGTON,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1460,30.5
41,CENSUS,2017,YEAR,COUNTY,ALABAMA,BLOUNT,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,2495,30.5
43,CENSUS,2017,YEAR,COUNTY,ALABAMA,CALHOUN,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,12316,30.5
45,CENSUS,2017,YEAR,COUNTY,ALABAMA,CHEROKEE,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,4610,30.5
47,CENSUS,2017,YEAR,COUNTY,ALABAMA,CLEBURNE,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,760,30.5
49,CENSUS,2017,YEAR,COUNTY,ALABAMA,CULLMAN,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,2570,30.5
51,CENSUS,2017,YEAR,COUNTY,ALABAMA,DE KALB,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1115,30.5
53,CENSUS,2017,YEAR,COUNTY,ALABAMA,ETOWAH,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,6256,30.5
55,CENSUS,2017,YEAR,COUNTY,ALABAMA,JACKSON,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,21423,30.5
57,CENSUS,2017,YEAR,COUNTY,ALABAMA,MARSHALL,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,3145,30.5
59,CENSUS,2017,YEAR,COUNTY,ALABAMA,SAINT CLAIR,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1910,30.5
61,CENSUS,2017,YEAR,COUNTY,ALABAMA,COLBERT,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,500,30.5
63,CENSUS,2017,YEAR,COUNTY,ALABAMA,FRANKLIN,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,518,30.5
65,CENSUS,2017,YEAR,COUNTY,ALABAMA,LAUDERDALE,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,2645,30.5
67,CENSUS,2017,YEAR,COUNTY,ALABAMA,LAWRENCE,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1960,30.5
